chr16	29108800	29109001	1	0	0	0	1	5	0	0	4	0	0	2
chr6	158799200	158799601	7	5	3	5	0	4	1	6	3	3	4	7
chr15	31217800	31218001	1	5	0	2	0	3	4	4	4	0	2	7
chr11	72132600	72133201	8	2	3	7	3	1	7	21	4	4	7	10
chr3	185929800	185930201	1	1	2	5	5	6	7	3	12	5	6	7
chr19	1061801	1062001	3	1	1	5	2	1	9	3	1	2	4	3
chr19	46077400	46077801	3	3	2	1	2	1	6	8	3	3	3	1
chr1	154157800	154158201	10	0	2	3	1	1	1	1	4	1	2	1
chr6	111792800	111793001	9	2	4	4	4	1	17	43	5	5	3	7
chr1	207316200	207316401	0	0	0	0	1	1	0	0	1	2	0	0
chr7	148501400	148502401	8	3	4	40	18	9	40	15	15	15	15	26
chr1	19505400	19505801	33	5	6	15	8	1	42	34	3	8	25	11
chr11	123189800	123190601	2	2	6	3	6	11	2	0	3	0	0	7
chr22	21103000	21103600	16	7	10	43	17	6	37	18	12	22	13	42
chr4	184383400	184384601	8	2	6	11	11	5	10	6	23	12	3	4
chr19	48553600	48553801	3	1	0	2	6	2	0	2	1	0	1	0
chr6	118785600	118786601	10	1	3	11	10	2	31	9	12	8	3	11
chr15	62896400	62896801	0	0	1	2	3	6	3	1	2	4	1	5
chr17	74457000	74457201	2	0	1	0	1	1	0	0	3	1	1	1
chr3	108296400	108296800	1	0	1	2	2	0	5	3	0	1	2	1
chr8	41545000	41545201	1	2	2	2	7	1	21	4	0	3	3	3
chr10	114238801	114240400	8	6	5	14	11	1	6	20	8	11	5	21
chr22	36335200	36335601	2	0	3	1	0	3	2	8	4	1	2	10
chr20	45404401	45404801	1	0	1	3	17	5	2	0	3	3	0	5
chr17	69227201	69228801	4	2	3	9	20	10	2	2	3	5	2	5
chr3	48432400	48432601	2	0	0	1	1	0	0	0	1	1	0	0
chr16	3146201	3147400	27	11	13	17	10	14	3	10	60	14	8	13
chr7	102420600	102421201	2	3	3	4	7	1	16	4	3	3	2	3
chr1	9123200	9123801	11	1	1	6	7	7	2	1	7	0	2	7
chr19	1897000	1898201	70	125	71	11	9	6	10	18	185	106	120	8
chr2	233386000	233386401	4	0	0	5	2	10	1	2	3	2	2	10
chr19	53224600	53225000	3	0	3	5	8	0	9	8	1	0	4	3
chr17	64498800	64499401	36	7	10	2	6	3	5	29	11	9	8	10
chr6	89084400	89084601	3	0	2	8	4	4	2	4	2	1	1	4
chr1	9237000	9237201	0	2	0	4	4	1	1	0	2	3	1	3
chr15	63494800	63495001	42	22	13	6	7	1	9	36	16	13	20	7
chr3	127755400	127755601	2	0	1	0	1	3	0	0	0	1	1	3
chr18	70490000	70491001	0	2	6	1	5	1	2	3	3	0	0	1
chr20	41157000	41158401	8	4	6	7	8	11	8	4	11	6	8	16
chr11	1896600	1898001	9	9	2	15	7	7	5	7	10	5	5	49
chr19	45153200	45154001	10	4	7	10	7	9	23	2	6	7	4	11
chr17	76203400	76203601	0	0	0	0	0	0	0	0	0	1	0	1
chr16	68287400	68287801	7	0	1	1	0	2	7	3	1	2	1	7
chr19	12643601	12644000	2	1	2	3	22	2	8	21	0	1	2	1
chr1	206925000	206925201	1	0	2	1	1	9	2	1	4	4	1	5
chr1	40034000	40034201	3	0	5	6	5	0	26	13	5	6	2	9
chr11	59222600	59223001	2	1	2	2	0	5	3	1	1	1	0	3
chr3	165206800	165207401	2	0	2	2	6	0	1	1	6	6	0	1
chr5	61304400	61305001	2	1	4	10	7	11	1	1	5	3	3	16
chr7	6396400	6397001	6	1	1	1	1	1	2	0	4	0	1	3
chr1	1959800	1960201	1	2	1	5	1	6	1	3	1	1	3	7
chr14	63759400	63759801	1	0	1	0	1	4	1	2	0	1	2	1
chr20	64036200	64036401	0	0	0	0	0	0	0	0	0	0	0	0
chr16	15638000	15638401	5	1	4	6	10	5	1	3	3	1	3	2
chr2	96531600	96532401	1	1	0	2	1	1	5	1	0	0	0	3
chr3	14429600	14429801	2	0	1	10	6	4	0	2	7	5	2	3
chr17	81566600	81567201	0	0	0	0	0	0	0	0	0	0	0	0
chr15	78436601	78436801	1	2	0	1	1	1	0	1	0	1	0	0
chr19	8334400	8335801	92	42	23	17	13	6	10	26	83	24	12	7
chr22	21632800	21633001	0	0	0	0	0	0	0	0	0	0	0	0
chr11	406000	407801	65	192	148	21	7	7	13	77	108	189	123	21
chr9	121815800	121816201	0	0	2	4	7	4	0	1	0	1	1	3
chr2	95028200	95028401	0	0	0	0	0	0	0	0	0	0	0	0
chr2	144402400	144403001	5	3	5	6	6	3	3	3	8	6	0	3
chr21	36994401	36995200	5	1	3	13	6	7	1	1	11	4	6	10
chr8	1754200	1754401	2	1	1	0	8	6	1	3	6	1	0	1
chr9	136526800	136527801	2	7	2	9	7	19	3	1	5	3	2	25
chr10	80289600	80289801	0	0	2	4	1	5	2	0	0	5	0	4
chr1	35886000	35887601	11	5	20	13	20	8	63	12	7	16	11	22
chr22	20318200	20318401	3	0	2	4	6	7	2	3	3	4	2	0
chr3	195898000	195898401	4	4	5	10	8	5	10	5	2	3	7	7
chr12	110846400	110847601	57	15	11	11	12	6	2	4	41	10	9	6
chr7	101162000	101162201	0	3	2	1	2	7	2	4	3	1	1	5
chr16	70716800	70717001	5	1	3	5	1	1	6	33	1	7	4	17
chr15	85626000	85626201	3	0	1	2	3	3	8	3	1	0	1	2
chr11	94742200	94742401	2	0	0	2	4	8	2	3	3	3	1	3
chr1	44676200	44676801	4	4	7	5	11	9	3	8	11	6	3	5
chr19	4671600	4671800	13	5	2	4	4	1	0	0	31	7	5	4
chr8	76732601	76733801	2	1	11	7	26	1	5	4	6	3	1	5
chr18	12049800	12050001	0	1	2	2	0	4	1	2	3	0	1	4
chr1	19429800	19430201	2	1	2	4	2	2	15	4	3	2	2	4
chr9	114959000	114959201	4	3	1	2	3	0	2	1	5	2	4	1
